GRAPHEME	syllabic	vocalic	consonantal	sonorant	continuant	voice	constr	lateral	nasal	strident	spread	tense	ATR	high	low	anterior	coronal	back	round	labial	distributed	LONG	EXTRA
ĩ	+	+	-	+	+	+	-	n	+	-	-	+	+	+	-	-	-	-	-	-	n	-	-
ĩʔ	+	+	-	+	+	+	+	n	+	-	-	+	+	+	-	-	-	-	-	-	n	-	-
ĩʔĩ	+	+	-	+	+	+	+	n	+	-	-	+	+	+	-	-	-	-	-	-	n	-	-
ĩː	+	+	-	+	+	+	-	n	+	-	-	+	+	+	-	-	-	-	-	-	n	+	-
i̝	+	+	-	+	+	+	-	n	-	-	-	+	+	+	-	-	-	-	-	-	n	-	-
i̝ː	+	+	-	+	+	+	-	n	-	-	-	+	+	+	-	-	-	-	-	-	n	+	-
i̞	+	+	-	+	+	+	-	n	-	-	-	.	.	+	-	-	-	-	-	-	n	-	-
i̟	+	+	-	+	+	+	-	n	-	-	-	+	+	+	-	-	-	-	-	-	n	-	-
i̤	+	+	-	+	+	+	-	n	-	-	+	+	+	+	-	-	-	-	-	-	n	-	-
i̤e̤	+	+	-	+	+	+	-	n	-	-	+	+	+	.	-	-	-	-	-	-	n	+	-
i̤ː	+	+	-	+	+	+	-	n	-	-	+	+	+	+	-	-	-	-	-	-	n	+	-
i̥	+	-	-	+	+	-	-	n	-	-	+	+	+	+	-	-	-	-	-	-	n	-	-
i̯e	+	+	-	+	+	+	-	n	-	-	-	+	+	.	-	-	-	-	-	-	n	+	-
i̯o	+	+	-	+	+	+	-	n	-	-	-	+	+	.	-	-	-	.	.	-	n	+	-
ḭ	+	+	-	+	+	+	+	n	-	-	-	+	+	+	-	-	-	-	-	-	n	-	-
ḭː	+	+	-	+	+	+	+	n	-	-	-	+	+	+	-	-	-	-	-	-	n	+	-
i̺	+	+	-	+	+	+	-	n	-	-	-	+	+	+	-	-	-	-	-	-	n	-	-
j	-	-	-	+	+	+	-	n	-	-	-	.	n	+	-	-	-	-	-	-	.	-	-
je	+	+	-	+	+	+	-	n	-	-	-	+	+	+	-	-	-	-	-	-	n	+	-
jeː	+	+	-	+	+	+	-	n	-	-	-	+	+	+	-	-	-	-	-	-	n	+	-
jẽ	+	+	-	+	+	+	-	n	+	-	-	+	+	+	-	-	-	-	-	-	n	+	-
jʰ	-	-	-	+	+	+	-	n	-	-	-	+	n	+	-	-	-	-	-	-	.	-	-
jʷ	-	-	-	+	+	+	-	n	-	-	-	.	n	+	-	-	-	-	+	+	.	-	-
jʼ	-	-	-	+	+	+	+	n	-	-	-	+	n	+	-	-	-	-	-	-	.	-	-
jː	-	-	-	+	+	+	-	n	-	-	-	.	n	+	-	-	-	-	-	-	.	+	-
ĵ	-	-	-	+	+	+	-	n	-	-	-	-	n	+	-	-	-	-	-	-	.	-	-
j̃	-	-	-	+	+	+	-	n	+	-	-	-	n	+	-	-	-	-	-	-	.	-	-
j̥	-	-	-	+	+	-	-	n	-	-	+	.	n	+	-	-	-	-	-	-	.	-	-
k	-	-	+	-	-	-	-	n	-	-	-	.	n	+	-	-	-	+	-	-	.	-	-
kf	-	-	+	-	-	-	-	n	-	+	-	.	n	.	-	.	-	.	-	.	-	-	-
klʼ	-	-	+	-	-	-	+	+	-	-	-	+	n	+	-	-	-	+	-	-	.	-	-
kxʰ	-	-	+	-	-	-	-	n	-	-	+	+	n	+	-	-	-	+	-	-	.	-	-
kxʼ	-	-	+	-	-	-	+	n	-	-	-	+	n	+	-	-	-	+	-	-	.	-	-
kʰ	-	-	+	-	-	-	-	n	-	-	+	+	n	+	-	-	-	+	-	-	.	-	-
kʰʲ	-	-	+	-	-	-	-	n	-	-	+	+	n	+	-	-	-	-	-	-	.	-	-
kʰʷ	-	-	+	-	-	-	-	n	-	-	+	+	n	+	-	-	-	+	+	+	.	-	-
kʲ	-	-	+	-	-	-	-	n	-	-	-	.	n	+	-	-	-	-	-	-	.	-	-
