GRAPHEME	tone	stress	syllabic	short	long	consonantal	sonorant	continuant	delayedRelease	approximant	tap	trill	nasal	lateral	labial	round	labiodental	coronal	anterior	distributed	strident	dorsal	high	low	front	back	tense	retractedTongueRoot	advancedTongueRoot	periodicGlottalSource	epilaryngealSource	spreadGlottis	constrictedGlottis	fortis	lenis	raisedLarynxEjective	loweredLarynxImplosive	click
yi	.	-	+	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	+	-	+	-	+	-	-	+	-	-	-	.	.	-	-	.
yia	.	-	+	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	.	.	.	-	+	-	-	+	-	-	-	.	.	-	-	.
yĩ	.	-	+	-	-	-	+	+	.	+	-	-	.	-	.	+	-	-	.	.	.	+	+	-	+	-	+	-	-	+	-	-	-	.	.	-	-	.
yi̯	.	-	.	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	+	-	+	-	+	-	-	+	-	-	-	.	.	-	-	.
yo	.	-	+	-	-	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	.	-	.	.	+	-	-	+	-	-	-	.	.	-	-	.
yu	.	-	+	-	-	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	+	-	.	.	+	-	-	+	-	-	-	.	.	-	-	.
yu̯	.	-	.	-	-	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	+	-	.	.	+	-	-	+	-	-	-	.	.	-	-	.
yæ	.	-	+	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	.	.	+	-	+	-	-	+	-	-	-	.	.	-	-	.
yø	.	-	+	-	-	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	.	-	+	-	+	-	-	+	-	-	-	.	.	-	-	.
yø̞	.	-	+	-	-	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	.	-	+	-	+	-	-	+	-	-	-	.	.	-	-	.
yœ	.	-	+	-	-	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	.	-	+	-	.	-	-	+	-	-	-	.	.	-	-	.
yœː	.	-	+	-	.	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	.	-	+	-	.	-	-	+	-	-	-	.	.	-	-	.
yə	.	-	+	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	.	-	.	-	.	-	-	+	-	-	-	.	.	-	-	.
yə̯	.	-	.	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	.	-	.	-	.	-	-	+	-	-	-	.	.	-	-	.
yɛ	.	-	+	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	.	-	+	-	.	-	-	+	-	-	-	.	.	-	-	.
yɜ	.	-	+	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	.	-	.	-	.	-	-	+	-	-	-	.	.	-	-	.
yʌ̯	.	-	.	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	.	-	.	.	.	-	-	+	-	-	-	.	.	-	-	.
yʼ	.	-	+	-	-	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	+	-	+	-	+	-	-	-	-	-	+	.	.	+	-	.
yː	.	-	+	-	+	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	+	-	+	-	+	-	-	+	-	-	-	.	.	-	-	.
yːə	.	-	+	-	.	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	.	-	.	-	.	-	-	+	-	-	-	.	.	-	-	.
yˑ	.	-	+	+	+	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	+	-	+	-	+	-	-	+	-	-	-	.	.	-	-	.
ỹ	.	-	+	-	-	-	+	+	.	+	-	-	+	-	+	+	-	-	.	.	.	+	+	-	+	-	+	-	-	+	-	-	-	.	.	-	-	.
ỹœ	.	-	+	-	-	-	+	+	.	+	-	-	.	-	+	+	-	-	.	.	.	+	.	-	+	-	.	-	-	+	-	-	-	.	.	-	-	.
ỹœː	.	-	+	-	.	-	+	+	.	+	-	-	.	-	+	+	-	-	.	.	.	+	.	-	+	-	.	-	-	+	-	-	-	.	.	-	-	.
ỹː	.	-	+	-	+	-	+	+	.	+	-	-	+	-	+	+	-	-	.	.	.	+	+	-	+	-	+	-	-	+	-	-	-	.	.	-	-	.
y̆	.	-	+	+	-	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	+	-	+	-	+	-	-	+	-	-	-	.	.	-	-	.
y̞	.	-	+	-	-	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	+	-	+	-	.	-	-	+	-	-	-	.	.	-	-	.
y̠	.	-	+	-	-	-	+	+	.	+	-	-	-	-	+	+	-	-	-	+	.	+	+	-	+	-	+	-	-	+	-	-	-	.	.	-	-	.
y̤	.	-	+	-	-	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	+	-	+	-	+	-	-	+	-	+	-	.	.	-	-	.
y̯ø	.	-	.	-	-	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	.	-	+	-	+	-	-	+	-	-	-	.	.	-	-	.
y̰	.	-	+	-	-	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	+	-	+	-	+	-	-	+	-	-	+	.	.	-	-	.
y̰ː	.	-	+	-	+	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	+	-	+	-	+	-	-	+	-	-	+	.	.	-	-	.
z	.	-	-	-	-	+	-	+	+	-	-	-	-	-	-	.	.	+	+	-	+	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
zɾ	.	-	-	-	-	+	.	+	+	.	.	-	-	-	-	.	.	+	+	-	.	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
zʲ	.	-	-	-	-	+	-	+	+	-	-	-	-	-	-	.	.	+	+	-	+	.	+	-	+	-	.	-	-	+	-	-	-	-	-	-	-	-
zʲː	.	-	-	-	+	+	-	+	+	-	-	-	-	-	-	.	.	+	+	-	+	.	+	-	+	-	.	-	-	+	-	-	-	-	-	-	-	-
zʷ	.	-	-	-	-	+	-	+	+	-	-	-	-	-	.	+	-	+	+	-	+	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
zˀ	.	-	-	-	-	+	-	+	+	-	-	-	-	-	-	.	.	+	+	-	+	-	.	.	.	.	.	-	-	+	-	-	+	-	-	-	-	-
zː	.	-	-	-	+	+	-	+	+	-	-	-	-	-	-	.	.	+	+	-	+	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
zˠ	.	-	-	-	-	+	-	+	+	-	-	-	-	-	-	.	.	+	+	-	+	.	+	-	-	-	.	-	-	+	-	-	-	-	-	-	-	-
zˤ	.	-	-	-	-	+	-	+	+	-	-	-	-	-	-	.	.	+	+	-	+	-	.	.	.	.	.	.	-	+	-	-	-	-	-	-	-	-
zˤː	.	-	-	-	+	+	-	+	+	-	-	-	-	-	-	.	.	+	+	-	+	-	.	.	.	.	.	.	-	+	-	-	-	-	-	-	-	-
z̞̩	.	-	+	-	-	-	+	+	.	+	-	-	-	-	-	.	.	+	+	-	+	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
z̞̩ˠ	.	-	+	-	-	-	+	+	.	+	-	-	-	-	-	.	.	+	+	-	+	.	+	-	-	-	.	-	-	+	-	-	-	-	-	-	-	-
z̞̩̃ˠ	.	-	+	-	-	-	+	+	.	+	-	-	+	-	-	.	.	+	+	-	+	.	+	-	-	-	.	-	-	+	-	-	-	-	-	-	-	-
z̟	.	-	-	-	-	+	-	+	+	-	-	-	-	-	-	.	.	+	+	-	+	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
z̠	.	-	-	-	-	+	-	+	+	-	-	-	-	-	-	.	.	+	-	+	+	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
z̤	.	-	-	-	-	+	-	+	+	-	-	-	-	-	-	.	.	+	+	-	+	-	.	.	.	.	.	-	-	+	-	+	-	-	-	-	-	-
z̥	.	-	-	-	-	+	-	+	+	-	-	-	-	-	-	.	.	+	+	-	+	-	.	.	.	.	.	-	-	-	-	-	-	-	-	-	-	-
z̩	.	-	+	-	-	+	-	+	+	-	-	-	-	-	-	.	.	+	+	-	+	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
z̪	.	-	-	-	-	+	-	+	+	-	-	-	-	-	-	.	.	+	+	+	+	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
z̪|z	.	-	-	-	-	+	-	+	+	-	-	-	-	-	-	.	.	+	+	.	+	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
z̪ʲ	.	-	-	-	-	+	-	+	+	-	-	-	-	-	-	.	.	+	+	+	+	.	+	-	+	-	.	-	-	+	-	-	-	-	-	-	-	-
z̪ʲ|zʲ	.	-	-	-	-	+	-	+	+	-	-	-	-	-	-	.	.	+	+	.	+	.	+	-	+	-	.	-	-	+	-	-	-	-	-	-	-	-
z̪ʷ	.	-	-	-	-	+	-	+	+	-	-	-	-	-	.	+	-	+	+	+	+	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
z̪ʷ|zʷ	.	-	-	-	-	+	-	+	+	-	-	-	-	-	.	+	-	+	+	.	+	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
z̪ː	.	-	-	-	+	+	-	+	+	-	-	-	-	-	-	.	.	+	+	+	+	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
z̪ˤ	.	-	-	-	-	+	-	+	+	-	-	-	-	-	-	.	.	+	+	+	+	-	.	.	.	.	.	.	-	+	-	-	-	-	-	-	-	-
z̪ˤ|zˤ	.	-	-	-	-	+	-	+	+	-	-	-	-	-	-	.	.	+	+	.	+	-	.	.	.	.	.	.	-	+	-	-	-	-	-	-	-	-
z̪ˤː	.	-	-	-	+	+	-	+	+	-	-	-	-	-	-	.	.	+	+	+	+	-	.	.	.	.	.	.	-	+	-	-	-	-	-	-	-	-
z̪̻	.	-	-	-	-	+	-	+	+	-	-	-	-	-	-	.	.	+	+	+	+	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
z̪͇|z͇	.	-	-	-	-	+	-	+	+	-	-	-	-	-	-	.	.	+	+	.	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
z̺	.	-	-	-	-	+	-	+	+	-	-	-	-	-	-	.	.	+	+	-	+	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
z̻	.	-	-	-	-	+	-	+	+	-	-	-	-	-	-	.	.	+	+	+	+	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
z̻ː	.	-	-	-	+	+	-	+	+	-	-	-	-	-	-	.	.	+	+	+	+	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
z͇	.	-	-	-	-	+	-	+	+	-	-	-	-	-	-	.	.	+	+	-	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
z͈ː	.	-	-	-	+	+	-	+	+	-	-	-	-	-	-	.	.	+	+	-	+	-	.	.	.	.	.	-	-	+	-	-	-	+	-	-	-	-
æ	.	-	+	-	-	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	-	+	+	-	.	-	-	+	-	-	-	.	.	-	-	.
æe	.	-	+	-	-	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	-	.	+	-	+	-	-	+	-	-	-	.	.	-	-	.
æe̯	.	-	.	-	-	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	-	.	+	-	+	-	-	+	-	-	-	.	.	-	-	.
æẽ̯	.	-	.	-	-	-	+	+	.	+	-	-	.	-	-	.	.	-	.	.	.	+	-	.	+	-	+	-	-	+	-	-	-	.	.	-	-	.
æi	.	-	+	-	-	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	.	.	+	-	+	-	-	+	-	-	-	.	.	-	-	.
æi̯	.	-	.	-	-	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	.	.	+	-	+	-	-	+	-	-	-	.	.	-	-	.
æo	.	-	+	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	-	.	.	.	+	-	-	+	-	-	-	.	.	-	-	.
æu	.	-	+	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	.	.	.	.	+	-	-	+	-	-	-	.	.	-	-	.
æu̯	.	-	.	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	.	.	.	.	+	-	-	+	-	-	-	.	.	-	-	.
æɔ	.	-	+	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	-	.	.	.	-	-	-	+	-	-	-	.	.	-	-	.
æɛ	.	-	+	-	-	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	-	.	+	-	-	-	-	+	-	-	-	.	.	-	-	.
æɪ	.	-	+	-	-	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	.	.	+	-	-	-	-	+	-	-	-	.	.	-	-	.
æɪ̯	.	-	.	-	-	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	.	.	+	-	-	-	-	+	-	-	-	.	.	-	-	.
æʉ	.	-	+	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	.	.	.	-	+	-	-	+	-	-	-	.	.	-	-	.
æʌ̯	.	-	.	-	-	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	-	.	.	.	-	-	-	+	-	-	-	.	.	-	-	.
æː	.	-	+	-	+	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	-	+	+	-	.	-	-	+	-	-	-	.	.	-	-	.
æːi	.	-	+	-	.	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	.	.	+	-	+	-	-	+	-	-	-	.	.	-	-	.
æːɪ	.	-	+	-	.	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	.	.	+	-	-	-	-	+	-	-	-	.	.	-	-	.
æːʊ	.	-	+	-	.	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	.	.	.	.	-	-	-	+	-	-	-	.	.	-	-	.
æˑ	.	-	+	+	+	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	-	+	+	-	.	-	-	+	-	-	-	.	.	-	-	.
æˤ	.	-	+	-	-	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	-	+	+	-	.	.	-	+	-	-	-	.	.	-	-	.
æ̃	.	-	+	-	-	-	+	+	.	+	-	-	+	-	-	.	.	-	.	.	.	+	-	+	+	-	.	-	-	+	-	-	-	.	.	-	-	.
æ̃ɪ̯̃	.	-	.	-	-	-	+	+	.	+	-	-	+	-	-	.	.	-	.	.	.	+	.	.	+	-	-	-	-	+	-	-	-	.	.	-	-	.
æ̃ː	.	-	+	-	+	-	+	+	.	+	-	-	+	-	-	.	.	-	.	.	.	+	-	+	+	-	.	-	-	+	-	-	-	.	.	-	-	.
æ̞̃	.	-	+	-	-	-	+	+	.	+	-	-	+	-	-	.	.	-	.	.	.	+	-	+	+	-	.	-	-	+	-	-	-	.	.	-	-	.
æ̤	.	-	+	-	-	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	-	+	+	-	.	-	-	+	-	+	-	.	.	-	-	.
æ̤ː	.	-	+	-	+	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	-	+	+	-	.	-	-	+	-	+	-	.	.	-	-	.
æ̰	.	-	+	-	-	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	-	+	+	-	.	-	-	+	-	-	+	.	.	-	-	.
ð	.	-	-	-	-	+	-	+	+	-	-	-	-	-	-	.	.	+	+	+	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
ðʲ	.	-	-	-	-	+	-	+	+	-	-	-	-	-	-	.	.	+	+	+	-	.	+	-	+	-	.	-	-	+	-	-	-	-	-	-	-	-
ðʼ	.	-	-	-	-	+	-	+	+	-	-	-	-	-	-	.	.	+	+	+	-	-	.	.	.	.	.	-	-	-	-	-	+	-	-	+	-	-
ðː	.	-	-	-	+	+	-	+	+	-	-	-	-	-	-	.	.	+	+	+	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
ðˠ	.	-	-	-	-	+	-	+	+	-	-	-	-	-	-	.	.	+	+	+	-	.	+	-	-	-	.	-	-	+	-	-	-	-	-	-	-	-
ðˤ	.	-	-	-	-	+	-	+	+	-	-	-	-	-	-	.	.	+	+	+	-	-	.	.	.	.	.	.	-	+	-	-	-	-	-	-	-	-
ð̞	.	-	-	-	-	-	+	+	.	+	-	-	-	-	-	.	.	+	+	+	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
ð̪	.	-	-	-	-	+	-	+	+	-	-	-	-	-	-	.	.	+	+	+	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
ð̪̙ˤ	.	-	-	-	-	+	-	+	+	-	-	-	-	-	-	.	.	+	+	+	-	-	.	.	.	.	.	+	-	+	-	-	-	-	-	-	-	-
ð̪̺	.	-	-	-	-	+	-	+	+	-	-	-	-	-	-	.	.	+	+	-	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
ð̺̞	.	-	-	-	-	-	+	+	.	+	-	-	-	-	-	.	.	+	+	-	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
ð͇ˠ	.	-	-	-	-	+	-	+	+	-	-	-	-	-	-	.	.	+	+	+	-	.	+	-	-	-	.	-	-	+	-	-	-	-	-	-	-	-
ð͉	.	-	-	-	-	+	-	+	+	-	-	-	-	-	-	.	.	+	+	+	-	-	.	.	.	.	.	-	-	+	-	-	-	-	+	-	-	-
ø	.	-	+	-	-	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	-	-	+	-	+	-	-	+	-	-	-	.	.	-	-	.
øu	.	-	+	-	-	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	.	-	.	.	+	-	-	+	-	-	-	.	.	-	-	.
øu̯	.	-	.	-	-	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	.	-	.	.	+	-	-	+	-	-	-	.	.	-	-	.
øy	.	-	+	-	-	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	.	-	+	-	+	-	-	+	-	-	-	.	.	-	-	.
øy̯	.	-	.	-	-	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	.	-	+	-	+	-	-	+	-	-	-	.	.	-	-	.
øɘ	.	-	+	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	-	-	.	-	+	-	-	+	-	-	-	.	.	-	-	.
øə	.	-	+	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	-	-	.	-	.	-	-	+	-	-	-	.	.	-	-	.
øɪ	.	-	+	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	.	-	+	-	.	-	-	+	-	-	-	.	.	-	-	.
øɪ̯	.	-	.	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	.	-	+	-	.	-	-	+	-	-	-	.	.	-	-	.
øʌ̯	.	-	.	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	-	-	.	.	.	-	-	+	-	-	-	.	.	-	-	.
øː	.	-	+	-	+	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	-	-	+	-	+	-	-	+	-	-	-	.	.	-	-	.
øːy̯	.	-	.	-	.	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	.	-	+	-	+	-	-	+	-	-	-	.	.	-	-	.
øˑ	.	-	+	+	+	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	-	-	+	-	+	-	-	+	-	-	-	.	.	-	-	.
ø̃	.	-	+	-	-	-	+	+	.	+	-	-	+	-	+	+	-	-	.	.	.	+	-	-	+	-	+	-	-	+	-	-	-	.	.	-	-	.
ø̃ː	.	-	+	-	+	-	+	+	.	+	-	-	+	-	+	+	-	-	.	.	.	+	-	-	+	-	+	-	-	+	-	-	-	.	.	-	-	.
ø̆	.	-	+	+	-	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	-	-	+	-	+	-	-	+	-	-	-	.	.	-	-	.
ø̞	.	-	+	-	-	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	-	-	+	-	.	-	-	+	-	-	-	.	.	-	-	.
ø̞ː	.	-	+	-	+	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	-	-	+	-	.	-	-	+	-	-	-	.	.	-	-	.
ø̞ˤ	.	-	+	-	-	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	-	-	+	-	.	.	-	+	-	-	-	.	.	-	-	.
ø̞̜	.	-	+	-	-	-	+	+	.	+	-	-	-	-	+	.	-	-	.	.	.	+	-	-	+	-	.	-	-	+	-	-	-	.	.	-	-	.
ø̞̜ː	.	-	+	-	+	-	+	+	.	+	-	-	-	-	+	.	-	-	.	.	.	+	-	-	+	-	.	-	-	+	-	-	-	.	.	-	-	.
ø̠	.	-	+	-	-	-	+	+	.	+	-	-	-	-	+	+	-	-	-	+	.	+	-	-	+	-	+	-	-	+	-	-	-	.	.	-	-	.
ø̠̞	.	-	+	-	-	-	+	+	.	+	-	-	-	-	+	+	-	-	-	+	.	+	-	-	+	-	.	-	-	+	-	-	-	.	.	-	-	.
ø̤	.	-	+	-	-	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	-	-	+	-	+	-	-	+	-	+	-	.	.	-	-	.
ø̰	.	-	+	-	-	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	-	-	+	-	+	-	-	+	-	-	+	.	.	-	-	.
ħ	.	-	-	-	-	+	-	+	+	-	-	-	-	-	-	.	.	-	.	.	.	+	-	+	-	+	.	+	-	-	-	-	-	-	-	-	-	-
ħʷ	.	-	-	-	-	+	-	+	+	-	-	-	-	-	.	+	-	-	.	.	.	+	-	+	-	+	.	+	-	-	-	-	-	-	-	-	-	-
ħː	.	-	-	-	+	+	-	+	+	-	-	-	-	-	-	.	.	-	.	.	.	+	-	+	-	+	.	+	-	-	-	-	-	-	-	-	-	-
ħ̃ʲ	.	-	-	-	-	+	-	+	+	-	-	-	+	-	-	.	.	-	.	.	.	+	.	.	.	.	.	+	-	-	-	-	-	-	-	-	-	-
ħ͈ː	.	-	-	-	+	+	-	+	+	-	-	-	-	-	-	.	.	-	.	.	.	+	-	+	-	+	.	+	-	-	-	-	-	+	-	-	-	-
ŋ	.	-	-	-	-	+	+	-	.	-	-	-	+	-	-	.	.	-	.	.	.	+	+	-	-	-	.	-	-	+	-	-	-	-	-	-	-	-
ŋb	.	-	-	-	-	+	.	-	-	-	-	-	.	-	.	-	-	-	.	.	.	.	+	-	-	-	.	-	-	+	-	-	-	-	-	-	-	-
ŋg	.	-	-	-	-	+	.	-	-	-	-	-	.	-	-	.	.	-	.	.	.	+	+	-	-	-	.	-	-	+	-	-	-	-	-	-	-	-
ŋgmb	.	-	-	-	-	+	.	-	-	-	-	-	.	-	.	-	-	-	.	.	.	.	+	-	-	-	.	-	-	+	-	-	-	-	-	-	-	-
ŋgʲ	.	-	-	-	-	+	.	-	-	-	-	-	.	-	-	.	.	-	.	.	.	+	+	-	.	-	.	-	-	+	-	-	-	-	-	-	-	-
ŋgʷ	.	-	-	-	-	+	.	-	-	-	-	-	.	-	.	+	-	-	.	.	.	+	+	-	-	-	.	-	-	+	-	-	-	-	-	-	-	-
ŋgː	.	-	-	-	.	+	.	-	-	-	-	-	.	-	-	.	.	-	.	.	.	+	+	-	-	-	.	-	-	+	-	-	-	-	-	-	-	-
ŋg̟	.	-	-	-	-	+	.	-	-	-	-	-	.	-	-	.	.	-	.	.	.	+	+	-	.	-	.	-	-	+	-	-	-	-	-	-	-	-
ŋh	.	-	-	-	-	.	.	.	+	-	-	-	.	-	-	.	.	-	.	.	.	.	+	-	-	-	.	-	-	.	-	.	-	-	-	-	-	-
ŋhʲ	.	-	-	-	-	.	.	.	+	-	-	-	.	-	-	.	.	-	.	.	.	.	+	-	.	-	.	-	-	.	-	.	-	-	-	-	-	-
ŋhʷ	.	-	-	-	-	.	.	.	+	-	-	-	.	-	.	+	-	-	.	.	.	.	+	-	-	-	.	-	-	.	-	.	-	-	-	-	-	-
ŋhᶣ	.	-	-	-	-	.	.	.	+	-	-	-	.	-	.	+	-	-	.	.	.	.	+	-	.	-	.	-	-	.	-	.	-	-	-	-	-	-
ŋk	.	-	-	-	-	+	.	-	-	-	-	-	.	-	-	.	.	-	.	.	.	+	+	-	-	-	.	-	-	.	-	-	-	-	-	-	-	-
ŋkx	.	-	-	-	-	+	.	-	+	-	-	-	.	-	-	.	.	-	.	.	.	+	+	-	-	-	.	-	-	.	-	-	-	-	-	-	-	-
ŋkɾ	.	-	-	-	-	+	.	.	-	.	.	-	.	-	-	.	.	.	+	-	-	.	+	-	-	-	.	-	-	.	-	-	-	-	-	-	-	-
ŋkʰ	.	-	-	-	-	+	.	-	-	-	-	-	.	-	-	.	.	-	.	.	.	+	+	-	-	-	.	-	-	.	-	.	-	-	-	-	-	-
ŋkʲ	.	-	-	-	-	+	.	-	-	-	-	-	.	-	-	.	.	-	.	.	.	+	+	-	.	-	.	-	-	.	-	-	-	-	-	-	-	-
ŋkʷ	.	-	-	-	-	+	.	-	-	-	-	-	.	-	.	+	-	-	.	.	.	+	+	-	-	-	.	-	-	.	-	-	-	-	-	-	-	-
ŋkʼ	.	-	-	-	-	+	.	-	-	-	-	-	.	-	-	.	.	-	.	.	.	+	+	-	-	-	.	-	-	.	-	-	.	-	-	.	-	-
ŋm	.	-	-	-	-	+	+	-	.	-	-	-	+	-	.	-	-	-	.	.	.	.	+	-	-	-	.	-	-	+	-	-	-	-	-	-	-	-
ŋmgb	.	-	-	-	-	+	.	-	-	-	-	-	.	-	+	-	-	-	.	.	.	+	+	-	-	-	.	-	-	+	-	-	-	-	-	-	-	-
ŋmkp	.	-	-	-	-	+	.	-	-	-	-	-	.	-	+	-	-	-	.	.	.	+	+	-	-	-	.	-	-	.	-	-	-	-	-	-	-	-
ŋmkpɾ	.	-	-	-	-	+	.	-	-	-	.	-	.	-	+	-	-	+	+	-	-	+	+	-	-	-	.	-	-	.	-	-	-	-	-	-	-	-
ŋmʲ	.	-	-	-	-	+	+	-	.	-	-	-	+	-	.	-	-	-	.	.	.	.	+	-	.	-	.	-	-	+	-	-	-	-	-	-	-	-
ŋmʷ	.	-	-	-	-	+	+	-	.	-	-	-	+	-	.	.	-	-	.	.	.	.	+	-	-	-	.	-	-	+	-	-	-	-	-	-	-	-
ŋmˤ	.	-	-	-	-	+	+	-	.	-	-	-	+	-	.	-	-	-	.	.	.	.	+	-	-	-	.	.	-	+	-	-	-	-	-	-	-	-
ŋxʰ	.	-	-	-	-	+	.	.	+	-	-	-	.	-	-	.	.	-	.	.	.	+	+	-	-	-	.	-	-	.	-	.	-	-	-	-	-	-
ŋǀ	.	-	-	-	-	+	+	-	.	-	-	-	+	-	-	.	.	+	+	+	-	+	+	-	-	-	.	-	-	+	-	-	-	-	-	-	-	+
ŋǀʱ	.	-	-	-	-	+	+	-	.	-	-	-	+	-	-	.	.	+	+	+	-	+	+	-	-	-	.	-	-	+	-	+	-	-	-	-	-	+
ŋǀ͓	.	-	-	-	-	+	+	-	+	-	-	-	+	-	-	.	.	+	+	+	-	+	+	-	-	-	.	-	-	+	-	-	-	-	-	-	-	+
