INVENTORY	GLOTTOCODE	SEGMENTS
97	mezq1235	˥ ˩ ˩˨ a ã æ æ̃ b ɓ d ɗ e ə ɡ ɡʷ h i ĩ ɨ j j̥ jˀ k kʰ kʷ kʷʼ kʼ l m m̥ mˀ n n̥ nˀ o ɔ p pʰ pʼ ɸ ɾ s ʃ t tʰ tsʼ t̠ʃ t̠ʃʼ tʼ u ũ w wˀ ʍ x xʷ z ʔ
98	cent2144	˥ ˥˦ ˩ a ã ɓ ɗ e ẽ ə ə̃ ɛ ɡ ɡʷ h i ĩ j j̥ k kʰ kʷ kʷʰ kʷʼ kʼ l m m̥ n n̥ ɲ ɲ̥ o õ ɔ p pʰ r s sʰ sʼ ʃ t tʰ ts tsʰ tsʼ t̠ʃ t̠ʃʰ t̠ʃʼ tʼ u ũ ʌ w ʍ z ʒ ʔ ˀj ˀm ˀɲ ˀw
99	chiq1250	˥ ˦ ˨ ˩ a ã b ð ɛ ɛ̃ ɣ h i ĩ j k l m n nd ndz n̠d̠ʒ ɲ̟ ɳɖʐ ŋɡ o õ p r ɾ s ʂ t ts t̠ʃ ʈʂ ʔ β
100	sanm1295	˥ ˧ ˩ a ã ð e ẽ ɣ h i ĩ k kʷ l m n ɲ ŋ o õ p r s ʃ t t̠ʃ u ũ ʒ ʔ β
101	chac1249	ɑ b c d ɛ ɡ h i j ɟ k l ʎ̟ m n ɲ̟ ŋ p ɸ r s ʃ t ts t̠ʃ ʊ w ʔ
102	paez1247	a ã çʲ ə̆ ɛ ɛ̃ ɣ h i ĭ ĩ j k m mb n nd ndʲ nz n̠ʒ ɲ ŋɡ p ɸʲ ɺ ɺʲ ɾ s ʃ ʃʲ t tʲ ts t̠ʃ u ũ w ʔ β
103	iton1250	a b d e h i ɨ j k kʼ l m n o p ɾ s t tʲ t̠ʃ t̠ʃʼ tʼ u w ʔ
104	sout2991	a ð ɛ ɣ h ɪ j k kʰ kʼ l ʎ m n ɲ ɔ p pʰ pʼ ɸ q qʰ qʼ r ɾ s ʃ t tʰ t̠ʃ t̠ʃʰ t̠ʃʼ tʼ ʊ w ʔ β
105	jaqa1244	a aː c cʰ cʼ i iː j k kʰ kʼ l ʎ m n ɲ ŋ p pʰ pʼ q qʰ qʼ ɾ s ʃ t tʰ ts tsʰ tsʼ t̠ʃ t̠ʃʰ t̠ʃʼ tʼ ʈʂ ʈʂʰ ʈʂʼ ɯ ɯː w x
106	mapu1245	a ɛ i j k l l̪ ʎ m n n̪ ɲ ŋ ɔ p ɸ ɻ s t t̪ t̠ʃ ʈʂ u ɯ w θ
