GLOTTOCODE	NAME	FAMILY	MACROAREA	LATITUDE	LONGITUDE
cher1273	Cherokee	Iroquoian	North America	35.4664	-83.163
chib1270	Chibcha	Chibchan	South America	6.24999	-74.1666
chic1270	Chickasaw	Muskogean	North America	33.9452	-97.1301
chim1300	Chimalapa Zoque	Mixe-Zoque	North America	16.6543	-94.6913
chim1301	Chimariko	(isolate or unclassified)	North America	41.0	-123.0
chim1302	Chimborazo Highland Quichua	Quechuan	South America	-1.36727	-78.8521
chim1309	Chimila	Chibchan	South America	10.1902	-74.2559
chip1261	Chipewyan	Athabaskan-Eyak-Tlingit	North America	58.3637	-110.832
chip1262	Chipaya	Uru-Chipaya	South America	-18.73951	-67.89633
chiq1248	Chiquitano	(isolate or unclassified)	South America	-17.6354	-59.9172
chiq1250	Chiquihuitlán Mazatec	Otomanguean	North America	18.0541	-96.6659
chir1286	Chiripá	Tupian	South America	-25.6521	-55.051
choc1276	Choctaw	Muskogean	North America	33.8993	-94.819
chok1243	Chokri Naga	Sino-Tibetan	Eurasia	25.5636	94.2887
chol1282	Chol	Mayan	North America	17.4897	-92.4698
chol1284	Cholón	Hibito-Cholon	South America	-9.23129	-75.9621
chon1284	Chong of Chanthaburi	Austroasiatic	Eurasia	12.5218	102.514
chon1287	Chonyi-Dzihana-Kauma	Atlantic-Congo	Africa	-6.518	38.672
chra1242	Chrau	Austroasiatic	Eurasia	10.8021	107.293
chua1250	Chuave	Nuclear Trans New Guinea	Papunesia	-6.17824	145.139
chua1256	Chuanqiandian Cluster Miao	Bookkeeping	Eurasia	22.5638	101.95
chuk1273	Chukchi	Chukotko-Kamchatkan	Eurasia	68.6436	170.045
chum1261	Chumburung	Atlantic-Congo	Africa	8.15211	-0.2755
chuv1255	Chuvash	Turkic	Eurasia	55.487	47.163
coca1259	Cocama-Cocamilla	Tupian	South America	-4.5	-74.0
coco1260	Cocos Islands Malay	Austronesian	Papunesia	-12.193342	96.833679
coeu1236	Coeur d'Alene	Salishan	North America	47.2958	-116.715
cofa1242	Cofán	(isolate or unclassified)	South America	0.276675	-77.0643
cogu1240	Cogui	Chibchan	South America	10.9485	-73.8043
cola1237	Colac	Pama-Nyungan	Australia	-38.471266	143.422444
colo1256	Tsafiki	Barbacoan	South America	-0.21181	-79.2347
coma1245	Comanche	Uto-Aztecan	North America	34.5701	-98.424
como1259	Comox	Salishan	North America	49.7233	-124.967
copa1236	Copainalá Zoque	Mixe-Zoque	North America	17.2157	-93.3183
copi1238	Copi	Atlantic-Congo	Africa		
coro1247	Corongo Ancash Quechua	Quechuan	South America	-8.57647	-77.9864
croa1245	Croatian	Indo-European	Eurasia	45.2006	16.826
cros1244	Cross River Mbembe	Atlantic-Congo	Africa	6.16926	8.23592
crow1244	Crow	Siouan	North America	45.368	-107.874
cube1242	Cubeo	Tucanoan	South America	1.32382	-70.1939
cuib1242	Cuiba	Guahiboan	South America	6.19829	-69.8197
culi1244	Culina	Arawan	South America	-8.55268	-70.6648
cupe1243	Cupeño	Uto-Aztecan	North America	33.3148	-116.515
curr1243	Curripaco	Arawakan	South America	0.69618	-67.5028
cusc1236	Cusco Quechua	Quechuan	South America	-14.0853	-71.7663
cuvo1236	Cuvok	Afro-Asiatic	Africa	10.6448	14.0006
czec1258	Czech	Indo-European	Eurasia	49.873398	15.10437
dadi1250	Dadibi	Teberan	Papunesia	-6.65765	144.511
dagb1246	Dagbani	Atlantic-Congo	Africa	9.64745	-0.43227
