GRAPHEME	SYLLABIC	vocalic	V-place	approximant	vocoid	sonorant	continuant	voice	constricted	lateral	nasal	strident	spread	ATR	anterior (C)	anterior (V)	anterior (any)	coronal (C)	coronal (V)	coronal (any)	labial (C)	distributed (C)	distributed (V)	distributed (any)	C-place	pharyngeal (C)	lingual (C)	dorsal (C)	pharyngeal (V)	labial (V)	lingual (V)	dorsal (V)	LONG	EXTRA	open1	open2	open3	open4	open5	open6	pharyngeal (any)	labial (any)	lingual (any)	dorsal (any)
ǃʃ	-	o	o	-	-	-	-	-	-	-	-	+	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
ǃʒ	-	o	o	-	-	-	-	-	-	-	-	+	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
ǃʔ	-	o	o	-	-	-	-	-	+	-	-	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
ǃʰ	-	o	o	-	-	-	-	-	-	-	-	-	+	n	+	n	+	+	o	+	-	-	n	-	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
ɐ	+	x	x	+	+	+	+	+	-	-	-	-	-	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	-	-	-	-	-	.	.	.	.	.	.	-	-	-	-
ɐː	+	x	x	+	+	+	+	+	-	-	-	-	-	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	-	-	-	+	-	.	.	.	.	.	.	-	-	-	-
ɑ	+	x	x	+	+	+	+	+	-	-	-	-	-	-	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	-	+	+	-	-	.	.	.	.	.	.	-	-	+	+
ɑː	+	x	x	+	+	+	+	+	-	-	-	-	-	-	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	-	+	+	+	-	.	.	.	.	.	.	-	-	+	+
ɑ̃	+	x	x	+	+	+	+	+	-	-	+	-	-	-	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	-	+	+	-	-	.	.	.	.	.	.	-	-	+	+
ɒ	+	x	x	+	+	+	+	+	-	-	-	-	-	-	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	+	+	+	-	-	.	.	.	.	.	.	-	+	+	+
ɒː	+	x	x	+	+	+	+	+	-	-	-	-	-	-	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	+	+	+	+	-	.	.	.	.	.	.	-	+	+	+
ɓ	-	o	o	-	-	-	-	+	+	-	-	-	-	n	n	n	n	-	o	-	+	n	n	n	x	-	-	-	o	o	o	o	-	-	.	.	.	.	.	.	-	+	-	-
ɓʷ	-	x	x	-	-	-	-	+	+	-	-	-	-	n	n	n	n	-	-	-	+	n	n	n	x	-	-	-	+	+	-	-	-	-	.	.	.	.	.	.	+	+	-	-
ɓ̥	-	o	o	-	-	-	-	-	+	-	-	-	-	n	n	n	n	-	o	-	+	n	n	n	x	-	-	-	o	o	o	o	-	-	.	.	.	.	.	.	-	+	-	-
ɓ̥ˠ	-	x	x	-	-	-	-	-	+	-	-	-	-	n	n	n	n	-	-	-	+	n	n	n	x	-	-	-	-	-	+	+	-	-	.	.	.	.	.	.	-	+	+	+
ɔ	+	x	x	+	+	+	+	+	-	-	-	-	-	-	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	+	+	+	-	-	.	.	.	.	.	.	-	+	+	+
ɔi	+	x	x	+	+	+	+	+	-	-	-	-	-	-	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	+	+	+	+	-	-	-	-	-	-	-	-	+	+	+
ɔi̯	+	x	x	+	+	+	+	+	-	-	-	-	-	-	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	+	+	-	+	-	-	-	-	-	-	-	-	+	+	-
ɔj	+	x	x	+	+	+	+	+	-	-	-	-	-	-	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	+	+	+	+	-	-	-	-	-	-	-	-	+	+	+
ɔʔ	+	x	x	+	+	+	+	+	+	-	-	-	-	-	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	+	+	+	-	-	.	.	.	.	.	.	-	+	+	+
ɔː	+	x	x	+	+	+	+	+	-	-	-	-	-	-	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	+	+	+	+	-	.	.	.	.	.	.	-	+	+	+
ɔ̃	+	x	x	+	+	+	+	+	-	-	+	-	-	-	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	+	+	+	-	-	.	.	.	.	.	.	-	+	+	+
ɔ̃ʔ	+	x	x	+	+	+	+	+	+	-	+	-	-	-	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	+	+	+	-	-	.	.	.	.	.	.	-	+	+	+
ɔ̃ː	+	x	x	+	+	+	+	+	-	-	+	-	-	-	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	+	+	+	+	-	.	.	.	.	.	.	-	+	+	+
ɔ̘	+	x	x	+	+	+	+	+	-	-	-	-	-	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	+	+	+	-	-	.	.	.	.	.	.	-	+	+	+
ɔ̝	+	x	x	+	+	+	+	+	-	-	-	-	-	-	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	+	+	+	-	-	.	.	.	.	.	.	-	+	+	+
ɔ̝ː	+	x	x	+	+	+	+	+	-	-	-	-	-	-	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	+	+	+	+	-	.	.	.	.	.	.	-	+	+	+
ɔ̥	+	x	x	+	+	+	+	-	-	-	-	-	-	-	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	+	+	+	-	-	.	.	.	.	.	.	-	+	+	+
ɕ	-	o	o	-	-	-	+	-	-	-	-	+	-	n	-	n	-	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
ɕɥ	-	x	x	-	-	-	+	-	-	-	-	+	-	n	-	-	-	+	+	+	-	+	+	+	x	-	+	-	+	+	+	-	-	-	.	.	.	.	.	.	+	+	+	-
ɕʰ	-	o	o	-	-	-	+	-	-	-	-	+	+	n	-	n	-	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
ɖ	-	o	o	-	-	-	-	+	-	-	-	-	-	n	-	n	-	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
ɖɽ	-	o	o	-	-	-	-	+	-	-	-	-	-	n	-	n	-	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
ɖʐ	-	o	o	-	-	-	-	+	-	-	-	+	-	n	-	n	-	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
ɖʰ	-	o	o	-	-	-	-	+	-	-	-	-	+	n	-	n	-	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
ɖʲ	-	x	x	-	-	-	-	+	-	-	-	-	-	n	-	-	-	+	+	+	-	-	+	+	x	-	+	-	-	-	+	-	-	-	.	.	.	.	.	.	-	-	+	-
ɖ˞	-	o	o	-	-	-	-	-	+	-	-	-	-	n	-	n	-	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
ɗ	-	o	o	-	-	-	-	+	+	-	-	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
ɗʒ	-	o	o	-	-	-	-	+	+	-	-	+	-	n	-	n	-	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
ɗʷ	-	x	x	-	-	-	-	+	+	-	-	-	-	n	+	n	+	+	-	+	-	-	n	-	x	-	+	-	+	+	-	-	-	-	.	.	.	.	.	.	+	+	+	-
ɗ̪	-	o	o	-	-	-	-	+	+	-	-	-	-	n	+	n	+	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
ə	+	x	x	+	+	+	+	+	-	-	-	-	-	-	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	-	-	-	-	-	.	.	.	.	.	.	-	-	-	-
əe	+	x	x	+	+	+	+	+	-	-	-	-	-	+	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	-	+	-	+	-	-	-	-	-	-	-	-	-	+	-
əi	+	x	x	+	+	+	+	+	-	-	-	-	-	+	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	-	+	-	+	-	-	-	-	-	-	-	-	-	+	-
əo	+	x	x	+	+	+	+	+	-	-	-	-	-	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	+	+	+	+	-	-	-	-	-	-	-	-	+	+	+
əu	+	x	x	+	+	+	+	+	-	-	-	-	-	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	+	+	+	+	-	-	-	-	-	-	-	-	+	+	+
əː	+	x	x	+	+	+	+	+	-	-	-	-	-	-	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	-	-	-	+	-	.	.	.	.	.	.	-	-	-	-
ə˞	+	x	x	+	+	+	+	+	-	-	-	-	-	-	n	-	-	-	+	+	-	n	-	-	x	-	-	-	-	-	+	-	-	-	.	.	.	.	.	.	-	-	+	-
əˤ	+	x	x	+	+	+	+	+	-	-	-	-	-	-	n	n	n	-	-	-	-	n	n	n	x	-	-	-	+	-	-	-	-	-	.	.	.	.	.	.	+	-	-	-
ə̃	+	x	x	+	+	+	+	+	-	-	+	-	-	-	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	-	-	-	-	-	.	.	.	.	.	.	-	-	-	-
ə̃ː	+	x	x	+	+	+	+	+	-	-	+	-	-	-	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	-	-	-	+	-	.	.	.	.	.	.	-	-	-	-
ə̆	+	x	x	+	+	+	+	+	-	-	-	-	-	-	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	-	-	-	-	+	.	.	.	.	.	.	-	-	-	-
ə̝	+	x	x	+	+	+	+	+	-	-	-	-	-	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	-	-	-	-	-	.	.	.	.	.	.	-	-	-	-
ə̟	+	x	x	+	+	+	+	+	-	-	-	-	-	-	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	-	-	-	-	-	.	.	.	.	.	.	-	-	-	-
ə̯i	+	x	x	+	+	+	+	+	-	-	-	-	-	+	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	-	+	-	+	-	-	-	-	-	-	-	-	-	+	-
ɛ	+	x	x	+	+	+	+	+	-	-	-	-	-	-	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	-	+	-	-	-	.	.	.	.	.	.	-	-	+	-
ɛi̯	+	x	x	+	+	+	+	+	-	-	-	-	-	-	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	-	+	-	+	-	-	-	-	-	-	-	-	-	+	-
ɛʔ	+	x	x	+	+	+	+	+	+	-	-	-	-	-	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	-	+	-	-	-	.	.	.	.	.	.	-	-	+	-
ɛː	+	x	x	+	+	+	+	+	-	-	-	-	-	-	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	-	+	-	+	-	.	.	.	.	.	.	-	-	+	-
ɛ̃	+	x	x	+	+	+	+	+	-	-	+	-	-	-	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	-	+	-	-	-	.	.	.	.	.	.	-	-	+	-
ɛ̃ʔ	+	x	x	+	+	+	+	+	+	-	+	-	-	-	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	-	+	-	-	-	.	.	.	.	.	.	-	-	+	-
ɛ̃ː	+	x	x	+	+	+	+	+	-	-	+	-	-	-	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	-	+	-	+	-	.	.	.	.	.	.	-	-	+	-
ɛ̘	+	x	x	+	+	+	+	+	-	-	-	-	-	+	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	-	+	-	-	-	.	.	.	.	.	.	-	-	+	-
ɛ̞	+	x	x	+	+	+	+	+	-	-	-	-	-	-	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	-	+	-	-	-	.	.	.	.	.	.	-	-	+	-
ɛ̥	+	x	x	+	+	+	+	-	-	-	-	-	-	-	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	-	+	-	-	-	.	.	.	.	.	.	-	-	+	-
ɜ	+	x	x	+	+	+	+	+	-	-	-	-	-	-	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	-	-	-	-	-	.	.	.	.	.	.	-	-	-	-
ɜː	+	x	x	+	+	+	+	+	-	-	-	-	-	-	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	-	-	-	+	-	.	.	.	.	.	.	-	-	-	-
ɟ	-	o	o	-	-	-	-	+	-	-	-	-	-	n	-	n	-	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
ɟʑ	-	o	o	-	-	-	-	+	-	-	-	+	-	n	-	n	-	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
ɟʝ	-	o	o	-	-	-	-	+	-	-	-	-	-	n	-	n	-	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
ɟʰ	-	o	o	-	-	-	-	+	-	-	-	-	+	n	-	n	-	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
ɟʷ	-	x	x	-	-	-	-	+	-	-	-	-	-	n	-	n	-	+	-	+	-	+	n	+	x	-	+	-	+	+	-	-	-	-	.	.	.	.	.	.	+	+	+	-
ɟ̥	-	o	o	-	-	-	-	-	-	-	-	-	-	n	-	n	-	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
ɠ	-	o	o	-	-	-	-	+	+	-	-	-	-	n	n	n	n	-	o	-	-	n	n	n	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
ɠʲ	-	x	x	-	-	-	-	+	+	-	-	-	-	n	n	-	-	-	+	+	-	n	+	+	x	-	+	+	-	-	+	-	-	-	.	.	.	.	.	.	-	-	+	+
ɠʷ	-	x	x	-	-	-	-	+	+	-	-	-	-	n	n	n	n	-	-	-	-	n	n	n	x	-	+	+	+	+	-	-	-	-	.	.	.	.	.	.	+	+	+	+
ɠ̥	-	o	o	-	-	-	-	-	+	-	-	-	-	n	n	n	n	-	o	-	-	n	n	n	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
ɠ͡ɓ	-	o	o	-	-	-	-	+	+	-	-	-	-	n	n	n	n	-	o	-	+	n	n	n	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	+	+	+
ɢ	-	o	o	-	-	-	-	+	-	-	-	-	-	n	n	n	n	-	o	-	-	n	n	n	x	+	+	+	o	o	o	o	-	-	.	.	.	.	.	.	+	-	+	+
ɢˤ	-	x	x	-	-	-	-	+	-	-	-	-	-	n	n	n	n	-	-	-	-	n	n	n	x	+	+	+	+	-	-	-	-	-	.	.	.	.	.	.	+	-	+	+
ɣ	-	o	o	-	-	-	+	+	-	-	-	-	-	n	n	n	n	-	o	-	-	n	n	n	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
ɣʰ	-	o	o	-	-	-	+	+	-	-	-	-	+	n	n	n	n	-	o	-	-	n	n	n	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
ɣʲ	-	x	x	-	-	-	+	+	-	-	-	-	-	n	n	-	-	-	+	+	-	n	+	+	x	-	+	+	-	-	+	-	-	-	.	.	.	.	.	.	-	-	+	+
ɣʷ	-	x	x	-	-	-	+	+	-	-	-	-	-	n	n	n	n	-	-	-	-	n	n	n	x	-	+	+	+	+	-	-	-	-	.	.	.	.	.	.	+	+	+	+
ɣʼ	-	o	o	-	-	-	+	+	+	-	-	-	-	n	n	n	n	-	o	-	-	n	n	n	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
ɣː	-	o	o	-	-	-	+	+	-	-	-	-	-	n	n	n	n	-	o	-	-	n	n	n	x	-	+	+	o	o	o	o	+	-	.	.	.	.	.	.	-	-	+	+
ɣ̀	-	o	o	-	-	-	+	+	+	-	-	-	-	n	n	n	n	-	o	-	-	n	n	n	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
ɣ͡β	-	o	o	-	-	-	+	+	-	-	-	-	-	n	n	n	n	-	o	-	+	n	n	n	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	+	+	+
ɤ	+	x	x	+	+	+	+	+	-	-	-	-	-	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	-	+	+	-	-	.	.	.	.	.	.	-	-	+	+
ɤː	+	x	x	+	+	+	+	+	-	-	-	-	-	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	-	+	+	+	-	.	.	.	.	.	.	-	-	+	+
ɥ	-	x	x	+	+	+	+	+	-	-	-	-	-	+	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	+	+	-	-	-	-	-	-	-	-	-	-	+	+	-
ɥ̥	-	x	x	+	+	+	+	-	-	-	-	-	-	+	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	+	+	-	-	-	-	-	-	-	-	-	-	+	+	-
ɦ	-	n	n	-	-	+	+	+	-	-	-	-	+	n	n	n	n	o	o	-	o	n	n	n	n	o	o	o	o	o	o	o	-	-	.	.	.	.	.	.	-	-	-	-
ɦʲ	-	x	x	-	-	+	+	+	-	-	-	-	+	n	n	-	-	o	+	+	o	n	+	+	n	o	o	o	-	-	+	-	-	-	.	.	.	.	.	.	-	-	+	-
ɦʷ	-	x	x	-	-	+	+	+	-	-	-	-	+	n	n	n	n	o	-	-	o	n	n	n	n	o	o	o	+	+	-	-	-	-	.	.	.	.	.	.	+	+	-	-
ɦ̃	-	n	n	-	-	+	+	+	-	-	+	-	+	n	n	n	n	o	o	-	o	n	n	n	n	o	o	o	o	o	o	o	-	-	.	.	.	.	.	.	-	-	-	-
ɨ	+	x	x	+	+	+	+	+	-	-	-	-	-	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	-	-	-	-	-	.	.	.	.	.	.	-	-	-	-
ɨʔɨ	+	x	x	+	+	+	+	+	+	-	-	-	-	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	-	-	-	-	-	.	.	.	.	.	.	-	-	-	-
ɨː	+	x	x	+	+	+	+	+	-	-	-	-	-	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	-	-	-	+	-	.	.	.	.	.	.	-	-	-	-
ɨːː	+	x	x	+	+	+	+	+	-	-	-	-	-	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	-	-	-	+	+	.	.	.	.	.	.	-	-	-	-
ɨ˞	+	x	x	+	+	+	+	+	-	-	-	-	-	+	n	-	-	-	+	+	-	n	-	-	x	-	-	-	-	-	+	-	-	-	.	.	.	.	.	.	-	-	+	-
ɨ̃	+	x	x	+	+	+	+	+	-	-	+	-	-	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	-	-	-	-	-	.	.	.	.	.	.	-	-	-	-
ɨ̃ʔɨ̃	+	x	x	+	+	+	+	+	+	-	+	-	-	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	-	-	-	-	-	.	.	.	.	.	.	-	-	-	-
ɨ̃ː	+	x	x	+	+	+	+	+	-	-	+	-	-	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	-	-	-	+	-	.	.	.	.	.	.	-	-	-	-
ɨ̞	+	x	x	+	+	+	+	+	-	-	-	-	-	-	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	-	-	-	-	-	.	.	.	.	.	.	-	-	-	-
ɪ	+	x	x	+	+	+	+	+	-	-	-	-	-	-	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	-	+	-	-	-	.	.	.	.	.	.	-	-	+	-
ɪɛ	+	x	x	+	+	+	+	+	-	-	-	-	-	-	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	-	+	-	+	-	-	-	-	-	-	-	-	-	+	-
ɪː	+	x	x	+	+	+	+	+	-	-	-	-	-	-	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	-	+	-	+	-	.	.	.	.	.	.	-	-	+	-
ɪ̃	+	x	x	+	+	+	+	+	-	-	+	-	-	-	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	-	+	-	-	-	.	.	.	.	.	.	-	-	+	-
ɪ̃ː	+	x	x	+	+	+	+	+	-	-	+	-	-	-	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	-	+	-	+	-	.	.	.	.	.	.	-	-	+	-
ɪ̘	+	x	x	+	+	+	+	+	-	-	-	-	-	+	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	-	+	-	-	-	.	.	.	.	.	.	-	-	+	-
ɪ̥	+	x	x	+	+	+	+	-	-	-	-	-	-	-	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	-	+	-	-	-	.	.	.	.	.	.	-	-	+	-
ɬ	-	o	o	-	-	-	+	-	-	+	-	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
ɬʷ	-	x	x	-	-	-	+	-	-	+	-	-	-	n	+	n	+	+	-	+	-	-	n	-	x	-	+	-	+	+	-	-	-	-	.	.	.	.	.	.	+	+	+	-
ɬʼ	-	o	o	-	-	-	+	-	+	+	-	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
ɬ̀	-	o	o	-	-	-	+	-	+	+	-	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
ɭ	-	o	o	+	-	+	-	+	-	+	-	-	-	n	-	n	-	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
ɮ	-	o	o	-	-	-	+	+	-	+	-	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
ɯ	+	x	x	+	+	+	+	+	-	-	-	-	-	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	-	+	+	-	-	.	.	.	.	.	.	-	-	+	+
ɯə	+	x	x	+	+	+	+	+	-	-	-	-	-	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	-	+	+	+	-	-	-	-	-	-	-	-	-	+	+
ɯː	+	x	x	+	+	+	+	+	-	-	-	-	-	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	-	+	+	+	-	.	.	.	.	.	.	-	-	+	+
ɯ̃	+	x	x	+	+	+	+	+	-	-	+	-	-	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	-	+	+	-	-	.	.	.	.	.	.	-	-	+	+
ɰ	-	x	x	+	+	+	+	+	-	-	-	-	-	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	-	+	+	-	-	-	-	-	-	-	-	-	-	+	+
ɰʼ	-	x	x	+	+	+	+	+	+	-	-	-	-	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	-	+	+	-	-	-	-	-	-	-	-	-	-	+	+
ɱ̥f	-	o	o	-	-	-	+	-	-	-	+	+	-	n	n	n	n	-	o	-	+	n	n	n	x	-	-	-	o	o	o	o	-	-	.	.	.	.	.	.	-	+	-	-
ɲ	-	o	o	-	-	+	-	+	-	-	+	-	-	n	-	n	-	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
ɲɥ	-	x	x	-	-	+	-	+	-	-	+	-	-	n	-	-	-	+	+	+	-	+	+	+	x	-	+	-	+	+	+	-	-	-	.	.	.	.	.	.	+	+	+	-
ɲʰ	-	o	o	-	-	+	-	+	-	-	+	-	+	n	-	n	-	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
ɲː	-	o	o	-	-	+	-	+	-	-	+	-	-	n	-	n	-	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	+	-	.	.	.	.	.	.	-	-	+	-
ɲ̥	-	o	o	-	-	+	-	-	-	-	+	-	-	n	-	n	-	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
ɲ̥cʃ	-	o	o	-	-	-	-	-	-	-	+	+	-	n	-	n	-	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
ɲ̥ʃ	-	o	o	-	-	-	+	-	-	-	+	+	-	n	-	n	-	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
ɲ̥ʰ	-	o	o	-	-	+	-	-	-	-	+	-	+	n	-	n	-	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
ɲ͡n̪	-	o	o	-	-	+	-	+	-	-	+	-	-	n	+	n	+	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
ɲ͡ŋ	-	o	o	-	-	+	-	+	-	-	+	-	-	n	-	n	-	+	o	+	-	+	n	+	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
ɲ͡ŋw	-	x	x	-	-	+	-	+	-	-	+	-	-	n	-	n	-	+	-	+	-	+	n	+	x	-	+	+	+	+	-	-	-	-	.	.	.	.	.	.	+	+	+	+
ɳ	-	o	o	-	-	+	-	+	-	-	+	-	-	n	-	n	-	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
ɳɖɽ	-	o	o	-	-	-	-	+	-	-	+	-	-	n	-	n	-	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
ɳʷ	-	x	x	-	-	+	-	+	-	-	+	-	-	n	-	n	-	+	-	+	-	-	n	-	x	-	+	-	+	+	-	-	-	-	.	.	.	.	.	.	+	+	+	-
ɴ	-	o	o	-	-	+	-	+	-	-	+	-	-	n	n	n	n	-	o	-	-	n	n	n	x	+	+	+	o	o	o	o	-	-	.	.	.	.	.	.	+	-	+	+
ɴʼ	-	o	o	-	-	+	-	+	+	-	+	-	-	n	n	n	n	-	o	-	-	n	n	n	x	+	+	+	o	o	o	o	-	-	.	.	.	.	.	.	+	-	+	+
ɵ	+	x	x	+	+	+	+	+	-	-	-	-	-	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	+	-	-	-	-	.	.	.	.	.	.	-	+	-	-
ɸ	-	o	o	-	-	-	+	-	-	-	-	-	-	n	n	n	n	-	o	-	+	n	n	n	x	-	-	-	o	o	o	o	-	-	.	.	.	.	.	.	-	+	-	-
ɹ	-	x	x	+	+	+	+	+	-	-	-	-	-	+	n	+	+	-	+	+	-	n	-	-	x	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	+	-
ɹː	-	x	x	+	+	+	+	+	-	-	-	-	-	+	n	+	+	-	+	+	-	n	-	-	x	-	-	-	-	-	+	-	+	-	-	-	-	-	-	-	-	-	+	-
