GRAPHEME	syllabic	vocalic	consonantal	sonorant	continuant	voice	glottal_(tertiary)_closure	lateral	nasal	strident	heightened_subglottal_pressure	movement_of_glottal_closure	tense	covered	high	low	anterior	coronal	back	round	distributed	delayed_primary_release	delayed_release_of_secondary_closure	LONG	EXTRA
eə	+	+	-	+	+	+	-	n	-	-	-	n	+	-	-	-	-	-	.	-	n	n	n	+	-
eɪ	+	+	-	+	+	+	-	n	-	-	-	n	+	-	.	-	-	-	-	-	n	n	n	+	-
eʔ	+	+	-	+	+	+	+	n	-	-	-	+	+	-	-	-	-	-	-	-	n	n	n	-	-
eʔe	+	+	-	+	+	+	+	n	-	-	-	-	+	-	-	-	-	-	-	-	n	n	n	-	-
eː	+	+	-	+	+	+	-	n	-	-	-	n	+	-	-	-	-	-	-	-	n	n	n	+	-
eːː	+	+	-	+	+	+	-	n	-	-	-	n	+	-	-	-	-	-	-	-	n	n	n	+	+
eˤ	+	+	-	+	+	+	-	n	-	-	-	n	+	-	-	+	-	-	+	-	n	n	n	-	-
ẽ	+	+	-	+	+	+	-	n	+	-	-	n	+	-	-	-	-	-	-	-	n	n	n	-	-
ẽʔẽ	+	+	-	+	+	+	+	n	+	-	-	-	+	-	-	-	-	-	-	-	n	n	n	-	-
ẽː	+	+	-	+	+	+	-	n	+	-	-	n	+	-	-	-	-	-	-	-	n	n	n	+	-
ẽⁿ	+	+	-	+	+	+	-	n	+	-	-	n	+	-	-	-	-	-	-	-	n	n	n	-	-
e̝	+	+	-	+	+	+	-	n	-	-	-	n	+	-	-	-	-	-	-	-	n	n	n	-	-
e̝ː	+	+	-	+	+	+	-	n	-	-	-	n	+	-	-	-	-	-	-	-	n	n	n	+	-
ẽ̝	+	+	-	+	+	+	-	n	+	-	-	n	+	-	-	-	-	-	-	-	n	n	n	-	-
e̞	+	+	-	+	+	+	-	n	-	-	-	n	.	-	-	-	-	-	-	-	n	n	n	-	-
e̤	+	+	-	+	+	+	-	n	-	-	+	n	+	-	-	-	-	-	-	-	n	n	n	-	-
e̤ː	+	+	-	+	+	+	-	n	-	-	+	n	+	-	-	-	-	-	-	-	n	n	n	+	-
ẽ̤	+	+	-	+	+	+	-	n	+	-	+	n	+	-	-	-	-	-	-	-	n	n	n	-	-
e̥	+	-	-	+	+	-	-	n	-	-	-	n	+	-	-	-	-	-	-	-	n	n	n	-	-
e̯	-	-	-	+	+	+	-	n	-	-	-	n	.	n	-	-	-	-	-	-	.	n	n	-	-
e̯a	+	+	-	+	+	+	-	n	-	-	-	n	+	-	-	.	-	-	.	-	n	n	n	+	-
e̯o	+	+	-	+	+	+	-	n	-	-	-	n	+	-	-	-	-	-	.	.	n	n	n	+	-
f	-	-	+	-	+	-	-	n	-	+	-	n	.	n	-	-	+	-	-	-	-	n	n	-	-
fʃ	-	-	+	-	+	-	-	-	-	+	-	n	.	n	.	-	-	.	-	-	+	n	n	-	-
fʲ	-	-	+	-	+	-	-	n	-	+	-	n	.	n	+	-	+	-	-	-	-	n	n	-	-
fʷ	-	-	+	-	+	-	-	n	-	+	-	n	.	n	-	-	+	-	-	+	-	n	n	-	-
fʼ	-	-	+	-	+	-	+	n	-	+	-	+	+	n	-	-	+	-	-	-	-	n	n	-	-
fː	-	-	+	-	+	-	-	n	-	+	-	n	.	n	-	-	+	-	-	-	-	n	n	+	-
fˡ	-	-	+	-	+	-	-	+	-	+	-	n	.	n	-	-	+	-	-	-	-	n	n	-	-
fˤ	-	-	+	-	+	-	-	n	-	+	-	n	.	n	-	+	+	-	+	-	-	n	n	-	-
g	-	-	+	-	-	+	-	n	-	-	-	n	.	n	+	-	-	-	+	-	.	-	n	-	-
gkxʼ	-	-	+	-	.	.	+	n	-	-	-	+	+	n	+	-	-	-	+	-	.	+	n	-	-
gǀ	-	-	+	-	-	+	-	-	-	-	-	n	n	n	+	-	+	+	+	-	+	-	-	-	-
