GRAPHEME	vocalic	consonantal	interrupted	voiced	checked	nasal	strident	tense	compact	sharp	diffuse	grave	flat	LONG	EXTRA
n̪z̪	-	+	-	+	-	.	+	.	-	-	+	-	-	-	-
n̪ʰ	-	+	+	+	-	+	-	+	-	-	+	-	-	-	-
n̪ʲ	-	+	+	+	-	+	-	.	-	+	+	-	-	-	-
n̪ʼ	-	+	+	+	+	+	-	.	-	-	+	-	-	-	-
n̪ː	-	+	+	+	-	+	-	.	-	-	+	-	-	+	-
n̻	-	+	+	+	-	+	-	.	-	-	+	-	-	-	-
o	+	-	-	+	-	-	-	+	-	-	-	+	+	-	-
oi	+	-	-	+	-	-	-	+	-	-	+	.	+	+	-
oj	+	-	-	+	-	-	-	+	-	-	+	.	.	+	-
omf	+	-	-	+	-	-	-	+	-	-	-	+	+	-	-
ou	+	-	-	+	-	-	-	+	-	-	+	+	+	+	-
oə	+	-	-	+	-	-	-	+	-	-	-	-	.	+	-
oʊ	+	-	-	+	-	-	-	.	-	-	+	+	+	+	-
oʔ	+	-	-	+	+	-	-	+	-	-	-	+	+	-	-
oʔo	+	-	-	+	+	-	-	+	-	-	-	+	+	-	-
oː	+	-	-	+	-	-	-	+	-	-	-	+	+	+	-
oːː	+	-	-	+	-	-	-	+	-	-	-	+	+	+	+
oˤ	+	-	-	+	-	-	-	+	-	-	-	+	+	-	-
õ	+	-	-	+	-	+	-	+	-	-	-	+	+	-	-
õʔ	+	-	-	+	+	+	-	+	-	-	-	+	+	-	-
õː	+	-	-	+	-	+	-	+	-	-	-	+	+	+	-
õˤ	+	-	-	+	-	+	-	+	-	-	-	+	+	-	-
õⁿ	+	-	-	+	-	+	-	+	-	-	-	+	+	-	-
ŏ	+	-	-	+	-	-	-	+	-	-	-	+	+	-	+
o̝	+	-	-	+	-	-	-	+	-	-	-	+	+	-	-
o̝ː	+	-	-	+	-	-	-	+	-	-	-	+	+	+	-
õ̝	+	-	-	+	-	+	-	+	-	-	-	+	+	-	-
o̞	+	-	-	+	-	-	-	.	-	-	-	+	+	-	-
